Receive Date,Receive Type,Inmate Type,Gender,Race,Age,County,Offense Code,Offense,Offense Description,Sentence Date,Offense Date,Sentence (Years)
09/12/2019,DMS Rvk-New Offense,ID,M,B,68,Bexar,35990015,Drug,POSS CONT SUB 1-4G,07/11/2011,12/01/2010,10 Years
11/07/2019,Parole Rvk-New Offense,ID,M,B,68,Lubbock,35990016,Drug,POSS C/S COCAINE PG1 4-200G,10/29/2009,06/23/2008,10 Years
10/17/2019,MS Rvk-Tech Only,ID,M,W,66,Ector,12120000,Violent,ROBBERY,12/04/1986,06/10/1986,21 to 25 Years
03/09/2020,New Rcv,ID,M,B,70,Wichita,52030024,Other,UNL POSS FIREARM FELON,01/29/2020,06/15/2016,Life
03/04/2020,New Rcv,ID,M,B,68,Dallas,36990007,Other,FAILURE COMPLY SEX OFFENDER LIFE,02/06/2020,08/29/2019,3 Years
08/20/2020,Parole Rvk-New Offense,ID,M,H,68,Nueces,51990018,Other,BRIBERY,09/16/2005,08/14/2004,21 to 25 Years
01/14/2020,NR-Prob-New Offense,ID,M,B,70,Dallas,35990002,Drug,MAN/POSS CS WID HEROIN,09/19/2019,11/21/2014,2 Years & Less
01/14/2020,Parole Rvk-New Offense,ID,M,H,67,Dallas,35990003,Drug,POSS WID CS METH 4G,05/14/2015,06/24/2013,7 Years
02/18/2020,Parole Rvk-Tech Only,ID,M,B,64,Dallas,12990001,Violent,ROBBERY,04/26/2007,12/15/2006,26 to 30 Years
02/20/2020,NR-Prob-New Offense,ID,M,W,69,Bexar,54040011,Other,DWI 3RD/M,11/21/2016,11/15/2015,2 Years & Less
09/18/2019,Parole Rvk-New Offense,ID,M,W,71,Harris,54040011,Other,DWI,08/24/2009,10/21/2008,16 to 20 Years
02/20/2020,NR-Prob-New Offense,SJ,M,B,68,Harris,35990014,Drug,POSS CS PG1<1G,02/13/2020,09/10/2014,7 to 8 Months
10/14/2019,NR-Prob-Orig,SAFP,M,B,65,Wilbarger,54040011,Other,DRIVING WHILE INTOXICATED 3RD OR,,03/10/2019,SAFPF
03/02/2020,New Rcv,SJ,M,H,68,Williamson,35990014,Drug,POSS CS PG1 L/1G:METH,02/24/2020,07/22/2019,11 to 12 Months
11/05/2019,Parole Rvk-New Offense,ID,M,B,67,Harris,11190000,Violent,AGG SEX ASLT CHILD,12/11/1992,04/17/1992,31 to 40 Years
11/14/2019,New Rcv,ID,M,W,67,Tarrant,35990016,Drug,POSS CONT SUB 4-200G METH,10/25/2019,03/22/2019,5 Years
04/17/2020,Parole Rvk-New Offense,ID,M,B,70,Kaufman,12120000,Violent,AGGRAVATED ROBBERY,09/30/1974,02/16/1974,Life
11/14/2019,New Rcv,SJ,M,B,66,Lubbock,23990196,Property,"THEFT U/$2,500 2/PRIORS",10/17/2019,07/19/2018,7 to 8 Months
03/19/2020,New Rcv,ID,M,B,62,Fannin,35990001,Drug,MAN DEL CONT SUB L/1G,02/14/2020,07/30/2018,11 to 15 Years
03/12/2020,Parole Rvk-New Offense,ID,M,H,67,Bexar,22120000,Property,BURG BLDG,06/29/1992,03/07/1992,21 to 25 Years
09/06/2019,NR-Prob-New Offense,SJ,M,B,69,Potter,35990014,Drug,POSS C/S,10/02/2017,01/23/2017,13 to 14 Months
09/18/2019,MS Rvk-Tech Only,ID,M,B,67,Harris,35320000,Drug,POSS C/S COCAINE,05/04/1992,02/18/1992,21 to 25 Years
08/04/2020,New Rcv,ID,M,H,71,Potter,54040011,Other,DWI 3/M,04/08/2020,09/07/2019,3 Years
11/12/2019,Parole Rvk-New Offense,ID,M,B,69,Dallas,22090000,Property,BURG OF HABIT,08/24/1978,05/04/1978,Life
07/01/2020,New Rcv,SJ,F,B,70,Brazoria,23990196,Property,THEFT W/2 OR MORE PREV CONVS,03/16/2020,01/27/2017,6 Months & Less
12/23/2019,New Rcv,ID,M,W,67,Madison,35990231,Drug,POSS CONT SUBS PG1 L/1G DFZ,12/02/2019,12/26/2018,3 Years
01/08/2020,NR-Parole-Tech Only,SAFP,M,W,66,Hood,35420000,Drug,AGG POSS CONT SUBS,04/11/1989,09/19/1988,SAFPF
03/25/2020,New Rcv,ID,M,H,67,Harris,36990007,Other,FAIL COMPLY AS SEX OFFENDER,03/04/2020,06/20/2019,3 Years
10/23/2019,NR-Prob-Tech Only,ID,M,B,68,Jefferson,52030024,Other,UNL POSS FIREARM BY FELON,05/16/2016,09/30/2013,4 Years
12/03/2019,Parole Rvk-New Offense,ID,M,B,68,Tarrant,12120000,Violent,ROBBERY BY BODILY INJURY,03/10/1982,11/05/1981,Life
10/28/2019,Parole Rvk-New Offense,ID,M,W,67,Tarrant,11180000,Violent,AGG SEX ASLT THREATS FORC,08/31/1989,03/20/1988,Life
03/04/2020,New Rcv,ID,M,W,71,Dallas,09990030,Violent,MURDER,01/30/2020,10/23/2017,31 to 40 Years
02/26/2020,New Rcv,SJ,M,W,72,Nacogdoches,35990014,Drug,POSS CS,01/30/2020,04/04/2019,23 to 24 Months & More
02/13/2020,NR-Parole-New Offense,SAFP,M,H,67,Travis,35990002,Drug,POSS WITD CONT SUB HEROIN,10/17/2011,06/21/2011,SAFPF
11/13/2019,Parole Rvk-Tech Only,ID,M,B,67,Orange,36140000,Violent,INDECENCY WITH A CHILD,10/21/1991,11/22/1990,31 to 40 Years
03/24/2020,Parole Rvk-New Offense,ID,M,B,68,Montgomery,13990059,Violent,ASLT CAUSES BI FAMILY-ENH,02/10/2010,04/23/2009,60 Years +
01/07/2020,NR-Prob-New Offense,ID,M,B,69,Harris,54040011,Other,DWI,07/24/2017,07/20/2017,2 Years & Less
10/24/2019,New Rcv,SJ,M,H,72,Lubbock,23990196,Property,"THEFT U/$2,500 2/PRIORS",09/09/2019,07/20/2017,19 to 20 Months
10/02/2019,New Rcv,ID,M,W,67,Bell,13150005,Violent,AGG ASLT THREAT BI W/DWPN,08/27/2019,03/12/2018,5 Years
11/07/2019,New Rcv,SJ,M,B,66,Harris,35990014,Drug,POSS CS PG1<1G,10/31/2019,01/24/2019,7 to 8 Months
10/08/2019,Parole Rvk-New Offense,ID,M,B,66,Dallas,35990002,Drug,UNL POSS WID C/S HEROIN 1G,08/04/2010,03/10/2010,11 to 15 Years
12/27/2019,MS Rvk-New Offense,ID,M,B,65,Dallas,12120000,Violent,AGG ROB,06/15/1987,01/02/1987,41 to 59 Years
02/05/2020,New Rcv,SJ,M,W,65,Rockwall,73991000,Other,ENGAGING IN ORGANIZED CRIM ACT,01/16/2020,08/25/2019,10 to 11 Months
08/13/2020,NR-Parole-Tech Only,SAFP,M,H,67,Jim Wells,22090000,Property,BURG HABIT,01/25/1991,12/08/1989,SAFPF
10/30/2019,MS Rvk-New Offense,ID,M,B,67,Harris,09150000,Violent,MURDER,08/21/1987,05/05/1987,31 to 40 Years
10/08/2019,New Rcv,ID,M,H,67,Potter,36990009,Other,SEX OFFENDER DUTY REG W/PREV CON,09/16/2019,05/14/2019,8 Years
02/28/2020,NR-Parole-Tech Only,SAFP,M,H,63,Karnes,13180000,Violent,AGG ASLT P.O. W/DDLY WPN,03/01/1995,04/29/1994,SAFPF
02/12/2020,NR-Prob-New Offense,ID,M,W,67,Ellis,35990015,Drug,POSS CONT SUB,01/06/2020,01/03/2015,3 Years
02/20/2020,New Rcv,SJ,M,B,66,Brazoria,23990196,Property,THEFT W/2 MORE PREV CONVS,01/13/2020,05/17/2019,11 to 12 Months
02/26/2020,Parole Rvk-New Offense,ID,M,B,67,Tarrant,22090000,Property,BURG OF HABITATION & REPE,04/15/1980,08/30/1979,60 Years +
12/13/2019,New Rcv,SJ,M,B,67,Tarrant,22990001,Property,BURG OF A BLDG,11/15/2019,07/26/2019,6 Months & Less
11/07/2019,Parole Rvk-New Offense,ID,M,B,66,Dallas,11180000,Violent,AGG RAPE,02/23/1979,09/16/1978,60 Years +
09/10/2019,New Rcv,SJ,M,H,65,Ector,35990014,Drug,POSS CS PG1<1G,08/28/2019,09/02/2018,14 to 15 Months
09/05/2019,NR-Prob-New Offense,ID,M,B,71,Tarrant,25890020,Property,FORGERY FINANCIAL INSTR ELD,08/12/2019,05/19/2017,3 Years
11/27/2019,MS Rvk-New Offense,ID,M,H,70,Nueces,11180000,Violent,AGG SEX ASSAULT,12/13/1985,03/27/1984,60 Years +
10/15/2019,New Rcv,ID,M,H,66,El Paso,73991003,Other,ENGAGING ORG CRIM ACT,09/12/2019,08/01/2018,5 Years
11/21/2019,New Rcv,ID,M,W,67,Grayson,11990012,Violent,SEX ABUSE CHILD CONT VU/14,10/17/2019,06/03/2017,41 to 59 Years
09/24/2019,New Rcv,ID,M,W,72,Tom Green,11990002,Violent,SEX ABUSE OF A CHILD CONT V/14,08/21/2019,06/28/2007,41 to 59 Years
03/24/2020,Parole Rvk-New Offense,ID,M,B,68,Travis,11200000,Violent,ATT AGG SEX ASLT,04/09/1986,07/29/1985,60 Years +
12/19/2019,Parole Rvk-Tech Only,ID,M,H,62,Galveston,22090000,Property,BURG OF HABITAT,02/12/1993,10/07/1991,60 Years +
09/19/2019,New Rcv,SJ,M,B,72,Harris,35990014,Drug,POSS CS PG1<1G,09/13/2019,04/02/2019,6 Months & Less
10/17/2019,Parole Rvk-New Offense,ID,M,W,69,Dallas,11180000,Violent,RAPE,10/20/1971,02/24/1971,Life
01/03/2020,New Rcv,ID,M,B,69,Tarrant,35990016,Drug,POSS CONT SUB HEROIN 4-200G,12/12/2019,09/17/2019,10 Years
09/27/2019,NR-Prob-Tech Only,SJ,M,H,70,Hidalgo,35990014,Drug,POCS PG1<1G,01/09/2017,03/23/2016,6 Months & Less
11/12/2019,MS Rvk-Tech Only,ID,M,W,63,Hidalgo,22100000,Violent,BURG HAB W/I RAPE W/DEAD,11/22/1983,08/23/1983,41 to 59 Years
09/27/2019,Parole Rvk-New Offense,ID,M,W,67,Calhoun,26050000,Property,CREDIT CARD ABUSE,06/28/1989,03/21/1989,26 to 30 Years
01/13/2020,New Rcv,ID,M,B,70,Dallas,36140001,Violent,INDEC W/CHILD EXPOSES,12/12/2019,08/12/2019,2 Years & Less
09/13/2019,New Rcv,SJ,M,W,67,Ellis,35990014,Drug,POSS C/S,08/08/2019,11/29/2018,7 to 8 Months
03/11/2020,NR-Prob-New Offense,ID,M,W,66,Tarrant,38990026,Other,VIOL BOND/PROT ORD 2+ W/I 12 MO,02/18/2020,06/14/2018,2 Years & Less
01/03/2020,New Rcv,ID,M,W,69,Harrison,36990007,Other,FAIL REG SEX OFF,12/09/2019,07/08/2014,4 Years
02/03/2020,New Rcv,ID,M,W,65,Henderson,52030024,Other,UNL POSS FIREARM BY FELON,01/06/2020,07/12/2018,7 Years
12/17/2019,MS Rvk-Tech Only,ID,M,W,66,Dallas,11190000,Violent,AGG SEXUAL ASLT OF CHILD,11/25/1985,02/01/1984,31 to 40 Years
03/16/2020,NR-Parole-Tech Only,SAFP,M,B,65,Lubbock,35420000,Drug,POSS WI DEL CONTRL SUBS,04/19/1990,12/11/1989,SAFPF
01/15/2020,NR-Prob-New Offense,ID,M,W,68,Jefferson,13150005,Violent,AGG ASLT,11/08/2019,05/26/2011,5 Years
08/17/2020,New Rcv,ID,M,H,68,Hidalgo,11990012,Violent,CONT SEX ABUSE CHILD V/U14,03/16/2020,02/01/2015,21 to 25 Years
10/01/2019,New Rcv,ID,M,B,66,Harris,13990076,Violent,ASLT FAM HSE MEM IMP BRTH CIRC,09/11/2019,01/14/2019,2 Years & Less
10/24/2019,New Rcv,SJ,M,H,66,Lubbock,23990196,Property,"THEFT U/$2,500 2/PRIORS",10/03/2019,04/23/2019,6 Months & Less
01/28/2020,New Rcv,SJ,M,B,67,Harris,23990196,Property,THEFT<2500 2/MORE PREV CONV,12/11/2019,05/12/2018,7 to 8 Months
12/12/2019,New Rcv,ID,M,W,67,Parker,54040011,Other,DWI,11/19/2019,03/21/2018,3 Years
12/09/2019,New Rcv,ID,M,B,73,Brazos,13150005,Violent,AGG ASLT W/DWPN,11/21/2019,11/11/2018,Life
10/08/2019,NR-Prob-New Offense,ID,M,B,63,Dallas,36990008,Other,FAIL REG SEX OFFENDER,09/04/2019,02/02/2018,3 Years
09/20/2019,New Rcv,SJ,M,B,66,Gregg,35990014,Drug,POSS C/S PG1<1G,08/05/2019,06/16/2018,17 to 18 Months
03/19/2020,Parole Rvk-Tech Only,ID,M,B,65,Harris,35320000,Drug,POSS COCAINE,07/20/1989,01/21/1989,41 to 59 Years
02/06/2020,DMS Rvk-New Offense,ID,M,H,66,Bexar,20110000,Property,ARSON,07/23/1990,11/20/1989,21 to 25 Years
12/16/2019,NR-Prob-New Offense,ID,M,H,64,Atascosa,54040011,Other,DWI SUBSEQUENT,01/10/2018,01/19/2017,6 Years
11/01/2019,New Rcv,SJ,M,H,65,Midland,73990677,Other,LIO PROH SUBS/CORR/CIVIL FAC,10/24/2019,03/30/2019,11 to 12 Months
09/24/2019,MS Rvk-New Offense,ID,M,H,71,Victoria,11180000,Violent,AGG SEXUAL ASSAULT,03/19/1984,10/05/1983,26 to 30 Years
01/29/2020,Parole Rvk-New Offense,ID,M,H,65,Harris,22090000,Property,BURG HABIT WIC THEFT,03/18/1992,02/06/1991,26 to 30 Years
02/04/2020,New Rcv,SJ,M,W,65,Harris,10990001,Violent,ATT KIDNAPPING,01/28/2020,09/16/2019,11 to 12 Months
07/21/2020,Parole Rvk-New Offense,ID,M,W,67,Kerr,35990003,Drug,POSS C/S HEROIN 4G<200G W/INT TO,10/21/2010,11/14/2009,26 to 30 Years
02/03/2020,Parole Rvk-New Offense,ID,M,B,72,Montgomery,35310000,Drug,DELIVERY OF COCAINE,06/12/1992,03/14/1991,26 to 30 Years
03/26/2020,New Rcv,ID,M,H,78,Harris,35990011,Drug,MAN DEL CONT SUB PG3/4 28-200G,03/06/2020,06/07/2019,3 Years
03/13/2020,Parole Rvk-New Offense,ID,M,B,61,Bexar,22120000,Property,BURG BLDG,07/02/1987,12/17/1986,Life
10/23/2019,NR-Prob-New Offense,ID,M,W,65,Tarrant,35990002,Drug,POSS WITD CS 1-4G METH,10/07/2019,05/22/2018,3 Years
07/31/2020,DMS Rvk-New Offense,ID,M,W,65,Tom Green,54040011,Other,DWI,07/15/2010,11/03/2009,16 to 20 Years
10/01/2019,New Rcv,ID,M,B,65,Harris,35990015,Drug,POSS CONT SUB 1-4G,09/10/2019,11/30/2018,2 Years & Less
11/18/2019,NR-Prob Mod,SAFP,M,B,64,Tarrant,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV",,02/03/2017,SAFPF
03/25/2020,New Rcv,ID,M,W,69,McLennan,36990007,Other,FAIL TO REG SEX OFF,01/27/2020,12/01/2017,3 Years
07/01/2020,NR-Prob-New Offense,SJ,M,B,66,Harrison,23990197,Property,THFT MAT ALUM/BRNZ/COPP/BRSS<20K,03/25/2020,11/30/2017,7 to 8 Months
01/22/2020,NR-Prob-New Offense,ID,M,B,64,Harris,35990014,Drug,POSS CONT SUB PG1 L/1G,01/06/2020,04/05/2018,2 Years & Less
09/11/2019,Parole Rvk-New Offense,ID,M,B,64,Harris,35410000,Drug,DEL CONT SUB,03/28/1985,07/25/1984,31 to 40 Years
03/18/2020,NR-Prob Mod,SAFP,M,H,65,Dallas,54040011,Other,DRIVING WHILE INTOXICATED 3RD OR,,12/25/2010,SAFPF
12/06/2019,New Rcv,ID,M,B,67,Upshur,54040011,Other,DWI SUBSEQUENT/HABITUAL,10/14/2019,02/01/2018,21 to 25 Years
10/02/2019,Parole Rvk-New Offense,ID,M,B,65,Parker,35990191,Drug,PRESCRIPTION FRAUD,05/05/2016,10/28/2013,5 Years
09/27/2019,New Rcv,SJ,M,H,67,Hidalgo,35990014,Drug,POCS PG1<1G,09/09/2019,05/26/2019,6 Months & Less
11/22/2019,DMS Rvk-New Offense,ID,M,H,65,Brazos,13990059,Violent,ASLT CBI-FAM VIOL ENH,01/14/2011,08/23/2009,10 Years
03/05/2020,DMS Rvk-New Offense,ID,M,W,65,Lamar,52030024,Other,UNL POSS FIREARM B/FELON HAB,02/18/2009,02/28/2007,21 to 25 Years
02/07/2020,New Rcv,ID,M,B,71,Tom Green,36990007,Other,FAIL REG SEX OFFENDER,01/13/2020,12/15/2018,2 Years & Less
02/10/2020,Parole Rvk-New Offense,ID,M,B,64,Dallas,13170000,Violent,AGG ASLT W/DEAD WPN,04/22/1993,01/25/1992,Life
10/30/2019,NR-Prob Mod,SAFP,M,W,65,Tom Green,35990003,Drug,MAN DEL CS PG 1 >=4G<200G,,07/11/2017,SAFPF
10/22/2019,NR-Prob Mod,SAFP,M,W,64,Schleicher,35990016,Drug,POSS CS PG 1 >=4G<200G,,03/18/2014,SAFPF
03/12/2020,Parole Rvk-Tech Only,ID,M,H,68,Bexar,54040011,Other,DWI-3D/M (REPEATER),08/05/2013,10/06/2012,10 Years
07/16/2020,Parole Rvk-New Offense,ID,M,B,65,Ellis,36990007,Other,FAIL COMPLY W/SEX OFFENDER,02/18/2016,08/27/2014,5 Years
09/09/2019,Parole Rvk-New Offense,ID,M,W,65,Coryell,22090000,Property,BURG HAB,12/13/1996,08/05/1993,41 to 59 Years
10/30/2019,Parole Rvk-New Offense,ID,M,W,60,McLennan,48040003,Other,TAMP W/PHYS EVID,10/01/2019,10/10/2018,8 Years
10/03/2019,NR-Prob-New Offense,ID,M,H,74,Bexar,54040011,Other,DWI-3D/M,10/05/2017,07/09/2017,2 Years & Less
01/29/2020,Parole Rvk-Tech Only,ID,M,B,73,Harris,11190000,Violent,AGG SEX ASLT OF CHILD,08/14/1989,12/30/1988,31 to 40 Years
10/07/2019,New Rcv,ID,M,B,64,Tarrant,13990076,Violent,ASLT FAM HSE MEM IMP BRTH CIRC,09/17/2019,12/15/2018,41 to 59 Years
01/09/2020,NR-Prob-Orig,SAFP,M,H,67,Bexar,54040000,Other,DWI,05/12/2000,05/27/1991,SAFPF
07/08/2020,New Rcv,ID,M,W,66,Brazoria,54040011,Other,DWI,03/03/2020,09/01/2018,6 Years
10/08/2019,New Rcv,ID,M,B,65,Galveston,48010020,Other,EVADE ARREST DET W/VEH,08/30/2019,10/07/2018,4 Years
03/04/2020,New Rcv,ID,M,B,62,Dallas,35990002,Drug,MAN DEL CONT SUB,02/05/2020,03/20/2018,3 Years
10/10/2019,Parole Rvk-Tech Only,ID,M,H,66,Harris,09130000,Violent,CAPITAL MURDER,10/06/1975,09/26/1974,Capital Life
10/24/2019,Parole Rvk-New Offense,ID,M,H,63,Harris,12130000,Violent,AGG ROB W/DEADLY WPN,03/06/1985,01/02/1984,31 to 40 Years
03/06/2020,NR-Prob-Tech Only,SJ,M,B,64,Dallas,23990196,Property,THEFT<2500 W/2 PREV CONV,02/14/2020,06/12/2019,11 to 12 Months
09/05/2019,New Rcv,ID,M,W,65,Tarrant,13150005,Violent,AGG ASLT W/DWPN-CELL PHONE,08/08/2019,12/01/2016,31 to 40 Years
12/27/2019,New Rcv,ID,M,W,64,Comal,50150004,Other,BAIL JUMP FAIL TO APPEAR,12/03/2019,07/24/2018,3 Years
09/05/2019,New Rcv,ID,M,H,63,Bexar,35990003,Drug,POSS WID CONT SUB PG1 4-200G,08/07/2019,03/29/2019,11 to 15 Years
03/30/2020,NR-Parole-Tech Only,SAFP,M,B,64,McLennan,22120000,Property,BURG BLDG,11/25/1985,03/23/1985,SAFPF
08/20/2020,DMS Rvk-New Offense,ID,M,W,63,Gray,35990015,Drug,POSS CONT SUBS PG1 1-4G,10/07/2010,10/15/2009,11 to 15 Years
04/07/2020,Parole Rvk-New Offense,ID,M,B,66,Travis,09150000,Violent,MURDER W/MALICE,06/20/1973,03/12/1973,Life
01/09/2020,NR-Prob-New Offense,ID,M,W,64,Denton,35990015,Drug,POSS CONT SUBS,08/18/2017,11/18/2016,2 Years & Less
04/07/2020,New Rcv,ID,M,W,64,Randall,11990004,Violent,AGG SEXUAL ASLT CHILD,03/05/2020,07/09/2016,Life
12/20/2019,New Rcv,SJ,M,H,61,Fort Bend,23990196,Property,THEFT PROP<$2500 2/MORE PREV CON,07/17/2019,04/12/2019,11 to 12 Months
03/02/2020,New Rcv,ID,M,H,65,Stephens,35990016,Drug,POSS CS 4-200G METH,02/13/2020,05/01/2015,31 to 40 Years
08/12/2020,NR-Parole-New Offense,SAFP,M,B,65,Ellis,35990015,Drug,POSS CONT SUBS,04/30/1999,07/05/1998,SAFPF
11/26/2019,New Rcv,SJ,M,H,64,Victoria,35990014,Drug,UNLAW POSS C/S PG 1<1G,09/30/2019,05/30/2018,11 to 12 Months
01/22/2020,New Rcv,ID,M,H,64,El Paso,35990002,Drug,MAN/DEL CONT SUB PG1 1-4G,10/02/2019,01/18/2018,5 Years
02/19/2020,Parole Rvk-New Offense,ID,M,B,62,Hill,25040000,Property,FORGERY BY PASSING,10/23/1991,06/25/1991,41 to 59 Years
01/27/2020,MS Rvk-New Offense,ID,M,W,64,Tarrant,22100000,Violent,BURG OF HABIT,02/25/1991,04/23/1990,21 to 25 Years
10/02/2019,Parole Rvk-Tech Only,ID,M,B,63,Dallas,25020000,Property,FORGERY,08/10/1994,07/07/1994,21 to 25 Years
12/12/2019,New Rcv,ID,M,H,64,Bexar,09990017,Violent,MANSLAUGHTER,11/12/2019,01/15/2018,5 Years
10/16/2019,Parole Rvk-New Offense,ID,M,B,64,Dallas,22090000,Property,BURG HABIT,09/09/1993,07/26/1993,21 to 25 Years
10/04/2019,New Rcv,ID,M,W,65,Ector,35990015,Drug,POSS CONT SUB PG1 1-4G,07/25/2019,09/19/2018,5 Years
03/06/2020,New Rcv,ID,M,B,67,Rusk,54040011,Other,DWI,01/27/2020,01/03/2018,3 Years
02/03/2020,Parole Rvk-New Offense,ID,M,B,64,Jackson,35990004,Drug,DEL C/SUB PG1 COCAINE,04/16/2008,04/20/2005,Life
11/27/2019,New Rcv,SJ,M,W,65,Dallas,35990014,Drug,POSS C/S; HEROIN,10/28/2019,03/15/2018,6 Months & Less
01/16/2020,NR-Parole-Tech Only,SAFP,M,W,63,Hays,24110000,Property,UNAUTH USE MTR VEHICLE,06/09/1994,12/24/1993,SAFPF
02/13/2020,NR-Prob Mod,SAFP,M,B,62,Dallas,13150005,Violent,AGG ASSAULT W/DEADLY WEAPON,,08/17/2019,SAFPF
03/11/2020,MS Rvk-New Offense,ID,M,B,65,Tarrant,35990003,Drug,DEL C/S HEROIN,09/16/1996,08/04/1994,31 to 40 Years
